"","Gene","DMSO_1","DMSO_2","DMSO_3","Combo_1","Combo_3","Combo_4"
"1","Gsk3b",218.850312043812,168.217116401261,201.526583764745,293.394951060691,285.391647632521,282.817541354405
"2","Dclk1",196.376306911834,153.552399524977,163.491690224518,267.737582176211,251.284731891981,266.299920678051
"3","Aak1",207.768302616664,167.64761283325,170.44088276813,271.589451805179,285.44240197142,244.475734083049
"4","Srpk2",157.085546215583,93.8969007758205,148.001886997536,203.430945150225,238.849918861576,201.126322353251
"5","Taok2",141.198749484357,137.677487566669,147.418367012957,228.500740701472,206.164124610226,218.839788870427
"6","Trio",136.393962180279,146.433604924839,123.653189459231,184.302168857216,184.999565289087,178.330511012582
"7","Cdc42bpa",133.526589111716,101.514010997968,120.52340045104,209.633108112122,208.448069860708,188.794162119774
"8","Mtor",136.626451888541,103.720837324011,134.952258251516,167.458399971222,180.888463838219,159.570679384686
"9","Araf",110.432611424374,99.805500293935,119.568549567185,139.450737753813,145.30967226959,158.748535369121
"10","Bcr",120.662158587895,83.2898968216148,116.279618745017,145.65290071571,156.729398522003,141.857212867511
"11","Pikfyve",78.1165419759781,71.1167580553788,67.6883182110593,132.399857755025,144.802128880594,108.14930822934
"12","Lmtk2",74.3967066437886,57.0215447471055,67.7944127537098,114.772657758054,106.939392061483,95.7424076308119
"13","Prkaa1",65.9495805769418,69.4794352973471,57.6623839305811,95.5785955391302,107.040900739283,86.4746023644413
"14","Ttbk2",60.5248207174989,40.2923774367812,49.3870096038371,81.3462636897242,89.9874428690128,74.1424421309644
"15","Ern1",38.670788140886,72.8964567054133,31.2978900819161,87.0261392443037,89.9366885301132,89.0905151412395
"16","Pskh1",45.8004725275824,37.0889198667191,54.3734531084136,74.7523851723388,69.8379703258667,60.6144360566655
"17","Prkx",48.8228387349863,55.3842219890738,36.549569943119,80.2364029491742,70.2440050370636,62.9313873732581
"18","Rps6ka2",41.3831680706074,30.3972529425893,43.4457152154056,57.3210429531122,65.7776232138977,51.6455922505004
"19","Ttbk1",32.3160694483957,18.8648056903657,35.9130026872156,51.7717392503622,53.3935645223923,62.4829451829498
"20","Stk36",21.6990394377717,15.5901601743023,24.5608866236054,29.7050962911914,35.8325632631264,30.7930304011667
"21","Sik2",23.2489708261839,20.8580681784044,19.2031122197519,43.5457125851092,37.1014217356167,40.5092778578455
"22","Prkag1",19.1416526468915,21.0716320164085,21.8024285146907,31.4678162908885,26.7475366000958,31.7646551468345
"23","Ripk2",15.8867967312257,20.2885646103934,16.762937738789,31.9901036982061,28.0163950725861,24.6643204669539
"24","Wnk3",16.42927271717,6.90523076213388,11.1399269783091,30.5538133280826,36.9491587189179,25.7106855776731
"25","Wnk4",1.7824210966741,1.63732275803174,2.38712720963767,5.22287407317651,5.78599463455582,4.33494117297977
